id,displayName,userPrincipalName,userType,onPremisesSyncEnabled,identities,companyName,creationType
e16eec32-b1ba-4843-ae4f-5790de579628,Alice Smith,alice.smith@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""alice.smith@micrlabs.onmicrosoft.com""}]",,
7856786c-201b-4a6a-95bf-267e84a7878f,Ava Young,ava.young@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""ava.young@micrlabs.onmicrosoft.com""}]",,
2e17d359-3b99-4802-8baa-f583341fa537,Bob Johnson,bob.johnson@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bob.johnson@micrlabs.onmicrosoft.com""}]",,
bfa873d5-d231-42d7-b926-08c45d0d8009,Bongani Banda,bongani.banda246@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.banda246@micrlabs.onmicrosoft.com""}]",,
3f56fe3f-01de-4dfc-8e3f-ee68c14ca120,Bongani Chikwanda,bongani.chikwanda215@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.chikwanda215@micrlabs.onmicrosoft.com""}]",,
5be6f2aa-2b9c-439c-ab0e-2466999cbe09,Bongani Chikwanda,bongani.chikwanda49@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.chikwanda49@micrlabs.onmicrosoft.com""}]",,
6b69b57c-e23e-4dff-bbe2-34288cfe13d2,Bongani Chikwanda,bongani.chikwanda52@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.chikwanda52@micrlabs.onmicrosoft.com""}]",,
fca8f678-92d6-4136-ae9c-c3aff038ef83,Bongani Chikwanda,bongani.chikwanda466@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.chikwanda466@micrlabs.onmicrosoft.com""}]",,
428cb4ae-f1f1-49dd-a5e4-6f7e1ddc0eb4,Bongani Chirwa,bongani.chirwa98@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.chirwa98@micrlabs.onmicrosoft.com""}]",,
4d3fc3b9-5fbe-439d-8fb2-d50cc8871d43,Bongani Dube,bongani.dube46@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.dube46@micrlabs.onmicrosoft.com""}]",,
8b215318-d2d3-4cb5-8238-c7fcefd06f56,Bongani Gumbo,bongani.gumbo413@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.gumbo413@micrlabs.onmicrosoft.com""}]",,
fc1c9a15-545d-4ff5-8617-72b7e27cd680,Bongani Gumbo,bongani.gumbo395@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.gumbo395@micrlabs.onmicrosoft.com""}]",,
6a929f4b-eedc-45ec-a25e-29d9b1bdffd5,Bongani Mhlanga,bongani.mhlanga467@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.mhlanga467@micrlabs.onmicrosoft.com""}]",,
884ecd29-e8bd-400d-819a-7025ee461d80,Bongani Moyo,bongani.moyo436@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.moyo436@micrlabs.onmicrosoft.com""}]",,
8e8ff1bf-2379-4f6a-b277-764a22908ef1,Bongani Moyo,bongani.moyo429@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.moyo429@micrlabs.onmicrosoft.com""}]",,
0fc599f9-3171-47bb-80f1-fc657500cd02,Bongani Mpofu,bongani.mpofu190@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.mpofu190@micrlabs.onmicrosoft.com""}]",,
4f01c35a-1e5c-4d38-9b2d-ec50bf45a8d7,Bongani Mpofu,bongani.mpofu444@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.mpofu444@micrlabs.onmicrosoft.com""}]",,
79f5d2cf-08cb-4383-9af8-01599a4c04c9,Bongani Mpofu,bongani.mpofu193@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.mpofu193@micrlabs.onmicrosoft.com""}]",,
abe74e69-0192-4486-a9dd-50f2db127d6e,Bongani Mpofu,bongani.mpofu212@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.mpofu212@micrlabs.onmicrosoft.com""}]",,
c9dcb813-ce72-4c86-b414-82d44d52737f,Bongani Mpofu,bongani.mpofu204@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.mpofu204@micrlabs.onmicrosoft.com""}]",,
b9616458-88ad-44d0-a048-302bc0f26b59,Bongani Mutasa,bongani.mutasa457@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.mutasa457@micrlabs.onmicrosoft.com""}]",,
e2d7e088-b1b9-479f-af3d-a470edf4fe7c,Bongani Mutasa,bongani.mutasa223@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.mutasa223@micrlabs.onmicrosoft.com""}]",,
e0cb14cd-5f5d-4973-8088-06efe7cc6f86,Bongani Ncube,bongani.ncube67@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.ncube67@micrlabs.onmicrosoft.com""}]",,
012f9a5f-156d-4cf1-9d2d-c4705811171a,Bongani Nkomo,bongani.nkomo174@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.nkomo174@micrlabs.onmicrosoft.com""}]",,
11b84d2d-6b2a-4605-87e2-892fb98ca68d,Bongani Nkomo,bongani.nkomo268@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.nkomo268@micrlabs.onmicrosoft.com""}]",,
645024bf-3172-48c3-8e51-cfd311211068,Bongani Nkomo,bongani.nkomo354@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.nkomo354@micrlabs.onmicrosoft.com""}]",,
73b5960d-1861-4c3d-b683-f6524316e30c,Bongani Nkomo,bongani.nkomo120@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.nkomo120@micrlabs.onmicrosoft.com""}]",,
de631544-eec9-4242-bc58-e0e13f962892,Bongani Nkomo,bongani.nkomo447@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.nkomo447@micrlabs.onmicrosoft.com""}]",,
e7a65576-a559-4bbe-84cc-3fb81515b5f7,Bongani Nkomo,bongani.nkomo44@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.nkomo44@micrlabs.onmicrosoft.com""}]",,
6babd06c-d780-4324-954e-2ef65596d85f,Bongani Phiri,bongani.phiri389@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.phiri389@micrlabs.onmicrosoft.com""}]",,
7e516f9d-69c0-47e2-94f7-2e2566fefa13,Bongani Tembo,bongani.tembo294@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.tembo294@micrlabs.onmicrosoft.com""}]",,
ad96a9fa-5d0a-4288-b1db-dbdaea168247,Bongani Tembo,bongani.tembo45@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.tembo45@micrlabs.onmicrosoft.com""}]",,
aee447fd-80f2-4723-96ad-f9416db26a0a,Bongani Tembo,bongani.tembo493@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.tembo493@micrlabs.onmicrosoft.com""}]",,
c9fea5dc-aabf-478f-9be9-31e54c9167db,Bongani Tembo,bongani.tembo472@micrlabs.onmicrosoft.com,Member,,"[{""signInType"":""userPrincipalName"",""issuer"":""micrlabs.onmicrosoft.com"",""issuerAssignedId"":""bongani.tembo472@micrlabs.onmicrosoft.com""}]",,
