"Email","Status","Timestamp"
"kudzai.chikwanda1@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:51"
"tinashe.phiri2@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:52"
"kudzai.zimba3@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:53"
"thandi.nkomo4@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:53"
"kudzai.ncube5@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:54"
"nompilo.chirwa6@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:54"
"simba.tembo7@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:55"
"tatenda.nkomo8@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:56"
"rudo.dube9@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:56"
"simba.banda10@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:57"
"sifiso.sithole11@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:58"
"sibusiso.chikwanda12@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:58"
"zanele.sithole13@micrlabs.onmicrosoft.com","Success","2026-03-28 20:54:59"
"thandi.mpofu14@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:00"
"tendai.banda15@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:00"
"sifiso.chirwa16@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:01"
"tsitsi.mpofu17@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:02"
"rudo.chirwa18@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:02"
"chiedza.ncube19@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:03"
"munyaradzi.tembo20@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:04"
"nompilo.mpofu21@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:04"
"tinashe.dube22@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:05"
"nompilo.chikwanda23@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:05"
"kudzai.mutasa24@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:06"
"tsitsi.ncube25@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:07"
"zanele.mutasa26@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:07"
"lungelo.gumbo27@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:08"
"takudzwa.gumbo28@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:09"
"sibusiso.gumbo29@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:09"
"tendai.chirwa30@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:10"
"tatenda.mutasa31@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:11"
"chiedza.gumbo32@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:11"
"rudo.mutasa33@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:12"
"zanele.gumbo34@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:12"
"nkosi.dube35@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:13"
"nkosi.mhlanga36@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:14"
"tatenda.chirwa37@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:14"
"chiedza.gumbo38@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:15"
"sifiso.sithole39@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:15"
"takudzwa.zimba40@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:16"
"sifiso.mutasa41@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:17"
"sifiso.phiri42@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:17"
"nomvula.chirwa43@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:18"
"bongani.nkomo44@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:18"
"bongani.tembo45@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:19"
"bongani.dube46@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:20"
"zanele.phiri47@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:20"
"nompilo.chikwanda48@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:21"
"bongani.chikwanda49@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:22"
"munyaradzi.zimba50@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:22"
"nompilo.moyo51@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:23"
"bongani.chikwanda52@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:24"
"munyaradzi.sithole53@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:24"
"lungelo.mpofu54@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:25"
"nyasha.moyo55@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:26"
"tinashe.mpofu56@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:26"
"thandi.nkomo57@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:27"
"tsitsi.moyo58@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:28"
"chiedza.tembo59@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:28"
"zanele.zimba60@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:29"
"lungelo.chirwa61@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:29"
"nompilo.zimba62@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:30"
"nyasha.sithole63@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:30"
"thandi.gumbo64@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:31"
"kudzai.banda65@micrlabs.onmicrosoft.com","Success","2026-03-28 20:55:32"
